id;nombre;tipo_profesional;edad;antiguedad;tipo_contrato;turno_asignado;opcion_turno;preferencia;elegible_turno
2144;Profesional_2144;enfermero;50;1182;contratado;4to_turno;4to_turno;4;60
1048;Profesional_1048;enfermero;49;1785;contratado;4to_turno;4to_turno;5;60
1691;Profesional_1691;kinesiólogo;49;328;contratado;4to_turno;4to_turno;4;60
934;Profesional_934;kinesiólogo;48;1649;contratado;4to_turno;4to_turno;5;60
1320;Profesional_1320;enfermero;48;937;contratado;4to_turno;4to_turno;5;60
2379;Profesional_2379;auxiliar;48;1003;contratado;4to_turno;4to_turno;4;60
3;Profesional_3;matrona;26;1347;reemplazo;4to_turno;3er_turno;3;0
158;Profesional_158;auxiliar;29;24;reemplazo;4to_turno;4to_turno;5;80
3;Profesional_3;matrona;26;1347;reemplazo;4to_turno;diurno;3;0
4;Profesional_4;enfermero;28;2349;contratado;3er_turno;3er_turno;3;0
4;Profesional_4;enfermero;28;2349;contratado;3er_turno;4to_turno;3;0
4;Profesional_4;enfermero;28;2349;contratado;3er_turno;diurno;3;0
5;Profesional_5;enfermero;47;627;contratado;3er_turno;3er_turno;2;0
5;Profesional_5;enfermero;47;627;contratado;3er_turno;4to_turno;5;0
5;Profesional_5;enfermero;47;627;contratado;3er_turno;diurno;5;0
6;Profesional_6;kinesiólogo;51;1986;contratado;3er_turno;3er_turno;2;0
6;Profesional_6;kinesiólogo;51;1986;contratado;3er_turno;4to_turno;2;0
6;Profesional_6;kinesiólogo;51;1986;contratado;3er_turno;diurno;2;0
7;Profesional_7;kinesiólogo;27;504;reemplazo;diurno;3er_turno;4;0
7;Profesional_7;kinesiólogo;27;504;reemplazo;diurno;4to_turno;4;0
7;Profesional_7;kinesiólogo;27;504;reemplazo;diurno;diurno;4;0
8;Profesional_8;enfermero;54;1260;reemplazo;3er_turno;3er_turno;3;0
8;Profesional_8;enfermero;54;1260;reemplazo;3er_turno;4to_turno;3;0
8;Profesional_8;enfermero;54;1260;reemplazo;3er_turno;diurno;3;0
9;Profesional_9;matrona;47;28;reemplazo;diurno;3er_turno;3;0
9;Profesional_9;matrona;47;28;reemplazo;diurno;4to_turno;3;0
9;Profesional_9;matrona;47;28;reemplazo;diurno;diurno;3;0
10;Profesional_10;kinesiólogo;48;3611;reemplazo;3er_turno;3er_turno;5;0
10;Profesional_10;kinesiólogo;48;3611;reemplazo;3er_turno;4to_turno;5;0
10;Profesional_10;kinesiólogo;48;3611;reemplazo;3er_turno;diurno;5;0
11;Profesional_11;enfermero;52;1479;reemplazo;diurno;3er_turno;1;0
11;Profesional_11;enfermero;52;1479;reemplazo;diurno;4to_turno;1;0
11;Profesional_11;enfermero;52;1479;reemplazo;diurno;diurno;1;0
12;Profesional_12;auxiliar;30;2024;reemplazo;diurno;3er_turno;3;0
12;Profesional_12;auxiliar;30;2024;reemplazo;diurno;4to_turno;3;0
12;Profesional_12;auxiliar;30;2024;reemplazo;diurno;diurno;3;0
13;Profesional_13;enfermero;34;233;reemplazo;4to_turno;3er_turno;4;0
411;Profesional_411;enfermero;28;555;reemplazo;4to_turno;4to_turno;5;80
13;Profesional_13;enfermero;34;233;reemplazo;4to_turno;diurno;4;0
14;Profesional_14;auxiliar;27;851;contratado;diurno;3er_turno;3;0
14;Profesional_14;auxiliar;27;851;contratado;diurno;4to_turno;3;0
14;Profesional_14;auxiliar;27;851;contratado;diurno;diurno;3;0
15;Profesional_15;matrona;60;3002;reemplazo;diurno;3er_turno;2;0
15;Profesional_15;matrona;60;3002;reemplazo;diurno;4to_turno;2;0
15;Profesional_15;matrona;60;3002;reemplazo;diurno;diurno;2;0
16;Profesional_16;matrona;43;585;contratado;diurno;3er_turno;1;0
16;Profesional_16;matrona;43;585;contratado;diurno;4to_turno;1;0
16;Profesional_16;matrona;43;585;contratado;diurno;diurno;1;0
17;Profesional_17;enfermero;37;872;contratado;3er_turno;3er_turno;2;0
17;Profesional_17;enfermero;37;872;contratado;3er_turno;4to_turno;2;0
17;Profesional_17;enfermero;37;872;contratado;3er_turno;diurno;2;0
18;Profesional_18;matrona;25;531;reemplazo;no;3er_turno;1;70
18;Profesional_18;matrona;25;531;reemplazo;no;4to_turno;4;90
18;Profesional_18;matrona;25;531;reemplazo;no;diurno;5;95
19;Profesional_19;auxiliar;37;523;contratado;diurno;3er_turno;2;0
19;Profesional_19;auxiliar;37;523;contratado;diurno;4to_turno;2;0
19;Profesional_19;auxiliar;37;523;contratado;diurno;diurno;2;0
20;Profesional_20;enfermero;50;2700;contratado;diurno;3er_turno;2;0
20;Profesional_20;enfermero;50;2700;contratado;diurno;4to_turno;2;0
20;Profesional_20;enfermero;50;2700;contratado;diurno;diurno;2;0
21;Profesional_21;auxiliar;45;2580;contratado;3er_turno;3er_turno;3;0
21;Profesional_21;auxiliar;45;2580;contratado;3er_turno;4to_turno;3;0
21;Profesional_21;auxiliar;45;2580;contratado;3er_turno;diurno;3;0
22;Profesional_22;enfermero;28;2489;reemplazo;diurno;3er_turno;2;0
22;Profesional_22;enfermero;28;2489;reemplazo;diurno;4to_turno;2;0
22;Profesional_22;enfermero;28;2489;reemplazo;diurno;diurno;2;0
3316;Profesional_3316;auxiliar;48;474;contratado;4to_turno;4to_turno;4;60
1530;Profesional_1530;enfermero;47;1788;contratado;4to_turno;4to_turno;4;60
2139;Profesional_2139;auxiliar;47;592;contratado;4to_turno;4to_turno;4;60
2660;Profesional_2660;enfermero;47;428;contratado;4to_turno;4to_turno;5;60
3218;Profesional_3218;kinesiólogo;47;385;contratado;4to_turno;4to_turno;4;60
700;Profesional_700;auxiliar;46;1024;contratado;4to_turno;4to_turno;4;60
25;Profesional_25;auxiliar;50;2308;contratado;3er_turno;3er_turno;3;0
25;Profesional_25;auxiliar;50;2308;contratado;3er_turno;4to_turno;3;0
25;Profesional_25;auxiliar;50;2308;contratado;3er_turno;diurno;3;0
1774;Profesional_1774;enfermero;46;904;contratado;4to_turno;4to_turno;4;60
2179;Profesional_2179;matrona;45;38;contratado;4to_turno;4to_turno;4;60
3177;Profesional_3177;enfermero;45;1554;contratado;4to_turno;4to_turno;5;60
2909;Profesional_2909;kinesiólogo;44;1306;contratado;4to_turno;4to_turno;5;60
1098;Profesional_1098;enfermero;43;312;contratado;4to_turno;4to_turno;4;60
1144;Profesional_1144;auxiliar;43;1798;contratado;4to_turno;4to_turno;4;60
28;Profesional_28;auxiliar;58;2560;contratado;3er_turno;3er_turno;3;0
28;Profesional_28;auxiliar;58;2560;contratado;3er_turno;4to_turno;3;0
28;Profesional_28;auxiliar;58;2560;contratado;3er_turno;diurno;3;0
29;Profesional_29;matrona;26;956;contratado;3er_turno;3er_turno;1;0
29;Profesional_29;matrona;26;956;contratado;3er_turno;4to_turno;1;0
29;Profesional_29;matrona;26;956;contratado;3er_turno;diurno;1;0
30;Profesional_30;enfermero;51;853;reemplazo;4to_turno;3er_turno;4;0
499;Profesional_499;enfermero;25;1458;reemplazo;4to_turno;4to_turno;4;70
30;Profesional_30;enfermero;51;853;reemplazo;4to_turno;diurno;4;0
31;Profesional_31;matrona;47;83;reemplazo;3er_turno;3er_turno;1;0
31;Profesional_31;matrona;47;83;reemplazo;3er_turno;4to_turno;1;0
31;Profesional_31;matrona;47;83;reemplazo;3er_turno;diurno;1;0
32;Profesional_32;kinesiólogo;39;2873;contratado;diurno;3er_turno;2;0
32;Profesional_32;kinesiólogo;39;2873;contratado;diurno;4to_turno;2;0
32;Profesional_32;kinesiólogo;39;2873;contratado;diurno;diurno;2;0
33;Profesional_33;enfermero;45;2990;reemplazo;3er_turno;3er_turno;1;0
33;Profesional_33;enfermero;45;2990;reemplazo;3er_turno;4to_turno;1;0
33;Profesional_33;enfermero;45;2990;reemplazo;3er_turno;diurno;1;0
2768;Profesional_2768;auxiliar;43;1526;contratado;4to_turno;4to_turno;4;60
2717;Profesional_2717;matrona;42;1486;contratado;4to_turno;4to_turno;5;60
2653;Profesional_2653;matrona;40;506;contratado;4to_turno;4to_turno;4;60
35;Profesional_35;enfermero;43;3573;reemplazo;diurno;3er_turno;1;0
35;Profesional_35;enfermero;43;3573;reemplazo;diurno;4to_turno;1;0
35;Profesional_35;enfermero;43;3573;reemplazo;diurno;diurno;1;0
36;Profesional_36;auxiliar;25;2760;reemplazo;4to_turno;3er_turno;1;0
511;Profesional_511;auxiliar;29;845;reemplazo;4to_turno;4to_turno;4;70
36;Profesional_36;auxiliar;25;2760;reemplazo;4to_turno;diurno;1;0
37;Profesional_37;enfermero;36;2392;contratado;3er_turno;3er_turno;2;0
37;Profesional_37;enfermero;36;2392;contratado;3er_turno;4to_turno;2;0
37;Profesional_37;enfermero;36;2392;contratado;3er_turno;diurno;2;0
38;Profesional_38;kinesiólogo;39;1616;reemplazo;4to_turno;3er_turno;5;0
523;Profesional_523;enfermero;29;1338;reemplazo;4to_turno;4to_turno;4;75
38;Profesional_38;kinesiólogo;39;1616;reemplazo;4to_turno;diurno;5;0
39;Profesional_39;enfermero;57;3525;reemplazo;3er_turno;3er_turno;3;0
39;Profesional_39;enfermero;57;3525;reemplazo;3er_turno;4to_turno;3;0
39;Profesional_39;enfermero;57;3525;reemplazo;3er_turno;diurno;3;0
40;Profesional_40;matrona;55;1367;reemplazo;diurno;3er_turno;4;0
40;Profesional_40;matrona;55;1367;reemplazo;diurno;4to_turno;4;0
40;Profesional_40;matrona;55;1367;reemplazo;diurno;diurno;4;0
41;Profesional_41;matrona;25;3256;reemplazo;3er_turno;3er_turno;3;0
41;Profesional_41;matrona;25;3256;reemplazo;3er_turno;4to_turno;3;0
41;Profesional_41;matrona;25;3256;reemplazo;3er_turno;diurno;3;0
42;Profesional_42;enfermero;50;3597;reemplazo;diurno;3er_turno;3;0
42;Profesional_42;enfermero;50;3597;reemplazo;diurno;4to_turno;3;0
42;Profesional_42;enfermero;50;3597;reemplazo;diurno;diurno;3;0
2719;Profesional_2719;kinesiólogo;40;675;contratado;4to_turno;4to_turno;4;60
3088;Profesional_3088;enfermero;40;748;contratado;4to_turno;4to_turno;4;60
662;Profesional_662;matrona;39;980;contratado;4to_turno;4to_turno;4;60
44;Profesional_44;matrona;30;13;contratado;diurno;3er_turno;1;0
44;Profesional_44;matrona;30;13;contratado;diurno;4to_turno;1;0
44;Profesional_44;matrona;30;13;contratado;diurno;diurno;1;0
45;Profesional_45;enfermero;38;3052;reemplazo;3er_turno;3er_turno;1;0
45;Profesional_45;enfermero;38;3052;reemplazo;3er_turno;4to_turno;1;0
45;Profesional_45;enfermero;38;3052;reemplazo;3er_turno;diurno;1;0
46;Profesional_46;kinesiólogo;56;2403;reemplazo;diurno;3er_turno;2;0
